"QuestID","Name","Field","Cur","Target","Decision","Reason"
"53442","The Castaways","race","64175181","61658034","FIX","follows faction flip (was the Alliance-races mask)"
"56715","Hozen Totem","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"56715","Hozen Totem","race","64175181","61658034","FIX","follows faction flip (was the Alliance-races mask)"
"56716","Direbrew Cog","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"56716","Direbrew Cog","race","64175181","61658034","FIX","follows faction flip (was the Alliance-races mask)"
"79125","The Kalimdor Cup Begins","faction","2","1","FIX","Alliance/Horde pair: API gives this ID Alliance and twin 79126 Horde; ours had both Horde"
"51575","Lost But Not Forgotten","faction","1","2","FIX","BfA profession quest, same pattern as the paired ones; API asserts Horde"
"51962","Lumbering Away","faction","1","2","FIX","BfA profession quest, same pattern as the paired ones; API asserts Horde"
"51971","An Exquisite Brooch","faction","1","2","FIX","BfA profession quest, same pattern as the paired ones; API asserts Horde"
"52055","An Ore for an Eye","faction","1","2","FIX","BfA profession quest, same pattern as the paired ones; API asserts Horde"
"11732","Desecrate this Fire!","faction","1","2","FIX","API and wago both assert Horde; every other ID of this quest name is Horde"
"11732","Desecrate this Fire!","race","64175181","61658034","FIX","wago asserts the Horde-races mask; follows faction flip"
"11755","Candy Bucket","faction","1","2","FIX","API and wago both assert Horde; every other ID of this quest name is Horde"
"11755","Candy Bucket","race","64175181","61658034","FIX","wago asserts the Horde-races mask; follows faction flip"
"6365","Meats to Orgrimmar","race","130","262274","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"26393","A Swift Message","race","1","1048577","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"26421","Meet the High Tinker","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"26422","Meet the High Tinker","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"26423","Meet the High Tinker","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"26424","Meet the High Tinker","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"26425","Meet the High Tinker","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"27635","Decontamination","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"27670","Pinned Down","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"27671","See to the Survivors","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"27674","To the Surface","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"28167","Report to Carvo Blastbolt","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"28169","Withdraw to the Loading Room!","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"28475","Twilight Scheming","race","512","16896","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"28477","Twilight Scheming","race","128","2883712","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"31137","Meet the High Tinker","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"31139","Beating Them Back!","race","1","1048577","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"31140","Lions for Lambs","race","1","1048577","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"31143","Join the Battle!","race","1","1048577","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"31144","They Sent Assassins","race","1","1048577","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"31145","The Rear is Clear","race","1","1048577","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"41218","Meet the High Tinker","race","64","4194368","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"63447","Fear No Evil","race","1048576","1048577","FIX","API lists our race(s) plus the allied race(s) routed through this starting-zone variant"
"31139","Beating Them Back!","class","1024","1632","FIX","API lists Monk plus the classes without their own Northshire variant (DK/Shaman/Druid)"
"31140","Lions for Lambs","class","1024","1632","FIX","API lists Monk plus the classes without their own Northshire variant (DK/Shaman/Druid)"
"31143","Join the Battle!","class","1024","1632","FIX","API lists Monk plus the classes without their own Northshire variant (DK/Shaman/Druid)"
"31144","They Sent Assassins","class","1024","1632","FIX","API lists Monk plus the classes without their own Northshire variant (DK/Shaman/Druid)"
"31145","The Rear is Clear","class","1024","1632","FIX","API lists Monk plus the classes without their own Northshire variant (DK/Shaman/Druid)"
"14280","The Winds Know Your Name... Apparently","class","1024","512","FIX","Worgen Monk variant is nonsensical here; API asserts Druid"
"14291","Safety in Numbers","class","1024","512","FIX","Worgen Monk variant is nonsensical here; API asserts Druid"
"50319","Stranger in a Strange Land","race","3268","32768","FIX","Horde quest carried Alliance races; API asserts Highmountain Tauren"
"27846","The Grateful Dead","race","957","2048","FIX","race mask was unrelated to the quest; API asserts Worgen"
"27846","The Grateful Dead","class","2048","8191","FIX","class was Demon Hunter only, unrelated to the quest; API has no class restriction"
"59254","Enhanced Combat Tactics","class","8191","3067","FIX","Exile's Reach: Evokers start elsewhere, so the API's pre-Evoker list is accurate"
"59933","Enhanced Combat Tactics","class","8191","3067","FIX","Exile's Reach: Evokers start elsewhere, so the API's pre-Evoker list is accurate"
"43496","The Power Within","class","8191","3967","FIX","artifact/order hall quest: Evokers have neither, so the API's pre-Evoker list is accurate"
"43501","The Power Within","class","8191","3967","FIX","artifact/order hall quest: Evokers have neither, so the API's pre-Evoker list is accurate"
"44481","Destiny Unfulfilled","class","8191","2047","FIX","artifact/order hall quest: Evokers have neither, so the API's pre-Evoker list is accurate"
"44496","Destiny Unfulfilled","class","8191","2047","FIX","artifact/order hall quest: Evokers have neither, so the API's pre-Evoker list is accurate"
